Threshold,True positives,False positives,False negatives,True negatives,Protection utility,Utility per observation
0.100000,414,243,7,200,1750.400000,2.025926
0.110000,414,243,7,200,1750.400000,2.025926
0.120000,414,243,7,200,1750.400000,2.025926
0.130000,413,236,8,207,1749.800000,2.025231
0.140000,413,236,8,207,1749.800000,2.025231
0.150000,406,194,15,249,1737.200000,2.010648
0.160000,406,194,15,249,1737.200000,2.010648
0.170000,406,194,15,249,1737.200000,2.010648
0.180000,406,194,15,249,1737.200000,2.010648
0.190000,406,194,15,249,1737.200000,2.010648
0.200000,406,194,15,249,1737.200000,2.010648
0.210000,406,194,15,249,1737.200000,2.010648
0.220000,406,194,15,249,1737.200000,2.010648
0.230000,406,194,15,249,1737.200000,2.010648
0.240000,406,194,15,249,1737.200000,2.010648
0.250000,406,194,15,249,1737.200000,2.010648
0.260000,406,194,15,249,1737.200000,2.010648
0.270000,406,194,15,249,1737.200000,2.010648
0.280000,406,194,15,249,1737.200000,2.010648
0.290000,397,171,24,272,1683.800000,1.948843
0.300000,397,171,24,272,1683.800000,1.948843
0.310000,397,171,24,272,1683.800000,1.948843
0.320000,397,171,24,272,1683.800000,1.948843
0.330000,397,171,24,272,1683.800000,1.948843
0.340000,397,171,24,272,1683.800000,1.948843
0.350000,397,171,24,272,1683.800000,1.948843
0.360000,397,171,24,272,1683.800000,1.948843
0.370000,397,171,24,272,1683.800000,1.948843
0.380000,397,171,24,272,1683.800000,1.948843
0.390000,397,171,24,272,1683.800000,1.948843
0.400000,337,79,84,364,1254.200000,1.451620
0.410000,337,79,84,364,1254.200000,1.451620
0.420000,337,79,84,364,1254.200000,1.451620
0.430000,337,79,84,364,1254.200000,1.451620
0.440000,337,79,84,364,1254.200000,1.451620
0.450000,337,79,84,364,1254.200000,1.451620
0.460000,337,79,84,364,1254.200000,1.451620
0.470000,337,79,84,364,1254.200000,1.451620
0.480000,337,79,84,364,1254.200000,1.451620
0.490000,337,79,84,364,1254.200000,1.451620
0.500000,337,79,84,364,1254.200000,1.451620
0.510000,337,79,84,364,1254.200000,1.451620
0.520000,337,79,84,364,1254.200000,1.451620
0.530000,337,79,84,364,1254.200000,1.451620
0.540000,337,79,84,364,1254.200000,1.451620
0.550000,337,79,84,364,1254.200000,1.451620
0.560000,304,52,117,391,989.600000,1.145370
0.570000,304,52,117,391,989.600000,1.145370
0.580000,304,52,117,391,989.600000,1.145370
0.590000,304,52,117,391,989.600000,1.145370
0.600000,304,52,117,391,989.600000,1.145370
0.610000,301,50,120,393,965.000000,1.116898
0.620000,301,50,120,393,965.000000,1.116898
0.630000,301,50,120,393,965.000000,1.116898
0.640000,265,29,156,414,666.200000,0.771065
0.650000,265,29,156,414,666.200000,0.771065
0.660000,265,29,156,414,666.200000,0.771065
0.670000,265,29,156,414,666.200000,0.771065
0.680000,265,29,156,414,666.200000,0.771065
0.690000,254,24,167,419,573.200000,0.663426
0.700000,254,24,167,419,573.200000,0.663426
0.710000,254,24,167,419,573.200000,0.663426
0.720000,254,24,167,419,573.200000,0.663426
0.730000,254,24,167,419,573.200000,0.663426
0.740000,254,24,167,419,573.200000,0.663426
0.750000,254,24,167,419,573.200000,0.663426
0.760000,254,24,167,419,573.200000,0.663426
0.770000,238,19,183,424,435.200000,0.503704
0.780000,238,19,183,424,435.200000,0.503704
0.790000,238,19,183,424,435.200000,0.503704
0.800000,238,19,183,424,435.200000,0.503704
0.810000,238,19,183,424,435.200000,0.503704
0.820000,238,19,183,424,435.200000,0.503704
0.830000,238,19,183,424,435.200000,0.503704
0.840000,233,18,188,425,391.400000,0.453009
0.850000,233,18,188,425,391.400000,0.453009
0.860000,233,18,188,425,391.400000,0.453009
0.870000,233,18,188,425,391.400000,0.453009
0.880000,141,5,280,438,-421.000000,-0.487269
0.890000,141,5,280,438,-421.000000,-0.487269
0.900000,141,5,280,438,-421.000000,-0.487269
